energy_pool,food_consumption,power_attack,resistance_attack,reward_eat,reward_rest,reward_sex,reward_violence,feature1
2.3920271460783886,2.3701780975865763,2.186036780154233,1.6027008825372668,1.980786013865065,2.545171807460439,3.108405762593178,2.138000519113882,1.3464471646569809
2.649697576151324,2.4899006815595044,2.1784888057908818,1.5577847090014658,2.056011927733955,2.647288700640545,3.036374192991502,2.1959699215581927,1.354833026235765
2.649697576151324,2.4899006815595044,2.1784888057908818,1.5577847090014658,2.056011927733955,2.647288700640545,3.036374192991502,2.1959699215581927,1.354833026235765
2.653257935500561,2.442777017020154,2.266081925968353,1.4358581867242075,2.1430411868596964,2.6976179361848835,3.0000167720956026,2.2638439908347467,1.4019736761128454
2.5602760728245677,2.371838901747751,2.2835380804162564,1.4673763801294564,2.0712605599480893,2.7704051069649482,3.0491140968589407,2.293446592265368,1.2720943762533823
2.422066620304766,2.325601958536649,2.290393726930863,1.451897438450977,2.0927437162028437,2.6157785794316557,3.057573700557932,2.225246342490178,1.4038545306673558
2.2779555446239534,2.2359543008208402,2.1810778980921595,1.4201657359737465,1.991542949474117,2.3605394457001614,2.9684855299648802,2.0266154403780168,1.3810466200699711
2.2779555446239534,2.2359543008208402,2.1810778980921595,1.4201657359737465,1.991542949474117,2.3605394457001614,2.9684855299648802,2.0266154403780168,1.3810466200699711
2.2416280073532104,2.3835829566619346,2.1065537463908854,1.5409103360674312,1.9874012076495788,2.3909916078664795,2.896464850426593,2.0861911207004775,1.5151918766470605
2.2416280073532104,2.3835829566619346,2.1065537463908854,1.5409103360674312,1.9874012076495788,2.3909916078664795,2.896464850426593,2.0861911207004775,1.5151918766470605
